No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2012-12-01,32.0,84.87882,10,24.98298,121.54024,6.156297588648554
2,2012-12-01,19.5,306.5947,9,24.98034,121.53951,6.496152707564686
3,2013-08-01,13.3,561.9845,5,24.98746,121.54391,6.877499545619759
4,2013-07-02,13.3,561.9845,5,24.98746,121.54391,7.402702209328699
5,2012-10-31,5.0,390.5684,5,24.97937,121.54245,6.565059024867941
6,2012-09-01,7.1,2175.03,3,24.96305,121.51254,5.665686189686118
7,2012-09-01,34.5,623.4731,7,24.97933,121.53642,6.348228099241551
8,2013-06-02,20.3,287.6025,6,24.98042,121.54228,6.833739825307955
9,2013-07-02,31.7,5512.038,1,24.95095,121.48458,4.33589667773576
10,2013-06-02,17.9,1783.18,3,24.96731,121.51486,4.701063709417263
11,2013-01-31,34.8,405.2134,1,24.97349,121.53372,6.434283176858165
12,2013-05-02,6.3,90.45606,9,24.97433,121.5431,7.622335600063802
13,2012-12-01,13.0,492.2313,5,24.96515,121.53737,6.268971207462991
14,2012-09-01,20.4,2469.645,4,24.96108,121.51046,4.878524367060187
15,2013-07-02,13.2,1164.838,4,24.99156,121.53406,5.856620185738529
16,2013-08-01,35.7,579.2083,2,24.9824,121.54619,7.106335201775948
17,2013-04-02,0.0,292.9978,6,24.97744,121.54458,8.372574275573792
18,2012-10-01,17.7,350.8515,1,24.97544,121.53119,6.115553940568262
19,2013-06-02,16.9,368.1363,8,24.9675,121.54451,6.5038450166036395
20,2012-09-01,1.5,23.38284,7,24.96772,121.54102,6.906518659932803
21,2013-06-02,4.5,2275.877,3,24.96314,121.51151,5.412947441089743
22,2013-06-02,10.5,279.1726,7,24.97528,121.54541,7.183313998427188
23,2012-12-01,14.7,1360.139,1,24.95204,121.54842,4.959838707054898
24,2013-01-31,10.1,279.1726,7,24.97528,121.54541,6.920982589199311
25,2013-01-01,39.6,480.6977,4,24.97353,121.53885,6.2289646009589745
26,2013-01-31,29.3,1487.868,2,24.97542,121.51726,5.196152422706632
27,2012-09-01,3.1,383.8624,5,24.98085,121.54391,7.496665925596525
28,2013-04-02,10.4,276.449,5,24.95593,121.53913,5.796550698475776
29,2013-07-02,19.2,557.478,4,24.97419,121.53797,6.855654600401044
30,2013-01-31,7.1,451.2438,5,24.97563,121.54694,7.556454194925025
31,2013-07-02,25.9,4519.69,0,24.94826,121.49587,4.701063709417263
32,2012-10-01,29.6,769.4034,7,24.98281,121.53408,5.0
33,2012-10-01,37.9,488.5727,1,24.97349,121.53451,5.848076606885378
34,2013-04-02,16.5,323.655,6,24.97841,121.54281,7.021395872616783
35,2012-10-01,15.4,205.367,7,24.98419,121.54243,7.422937423958254
36,2013-07-02,13.9,4079.418,0,25.01459,121.51816,5.224940191045253
37,2012-12-01,14.7,1935.009,2,24.96386,121.51458,4.78539444560216
38,2013-03-02,12.0,1360.139,1,24.95204,121.54842,5.029910535983717
39,2012-09-01,3.1,577.9615,6,24.97201,121.54722,6.906518659932803
40,2013-03-02,16.2,289.3248,5,24.98203,121.54348,6.797058187186572
41,2013-01-01,13.6,4082.015,0,24.94155,121.50381,3.987480407475377
42,2013-07-02,16.8,4066.587,0,24.94297,121.50342,4.266145801540309
43,2013-06-02,36.1,519.4617,5,24.96305,121.53758,5.890670590009257
44,2012-10-01,34.4,512.7871,6,24.98748,121.54301,5.8395205282625735
45,2013-08-01,2.7,533.4762,4,24.97445,121.54765,7.341661937191061
46,2013-01-31,36.6,488.8193,8,24.97015,121.54494,6.18869937870632
47,2013-06-02,21.7,463.9623,9,24.9703,121.54458,6.48074069840786
48,2013-08-01,35.9,640.7391,3,24.97563,121.53715,7.842193570679061
49,2013-06-02,24.2,4605.749,0,24.94684,121.49578,3.6606010435446255
50,2012-09-01,29.4,4510.359,1,24.94925,121.49542,3.63318042491699
51,2013-06-02,21.7,512.5487,4,24.974,121.53842,6.648308055437865
52,2013-01-31,31.3,1758.406,1,24.95402,121.55282,4.54972526643093
53,2013-08-01,32.1,1438.579,3,24.97419,121.5175,5.196152422706632
54,2013-01-31,13.3,492.2313,5,24.96515,121.53737,6.23698645180507
55,2013-01-31,16.1,289.3248,5,24.98203,121.54348,7.19027120489902
56,2012-10-31,31.7,1160.632,0,24.94968,121.53009,3.7013511046643495
57,2013-06-02,33.6,371.2495,8,24.97254,121.54059,6.473020933072903
58,2012-12-01,3.5,56.47425,7,24.95744,121.53711,7.314369419163897
59,2013-07-02,30.3,4510.359,1,24.94925,121.49542,4.753945729601885
60,2013-01-31,13.3,336.0532,5,24.95776,121.53438,6.511528238439882
61,2013-06-02,11.0,1931.207,2,24.96365,121.51471,4.61519230368573
62,2013-07-02,5.3,259.6607,6,24.97585,121.54516,7.9498427657407165
63,2012-12-01,17.2,2175.877,3,24.96303,121.51254,5.263078946776307
64,2013-08-01,2.6,533.4762,4,24.97445,121.54765,7.416198487095663
65,2013-05-02,17.5,995.7554,0,24.96305,121.54915,5.029910535983717
66,2013-06-02,40.1,123.7429,8,24.97635,121.54329,6.6558245169174945
67,2013-01-01,1.0,193.5845,6,24.96571,121.54089,7.12039324756716
68,2013-07-02,8.5,104.8101,5,24.96674,121.54067,7.536577472566709
69,2013-06-02,30.4,464.223,6,24.97964,121.53805,6.016643582596529
70,2012-10-31,12.5,561.9845,5,24.98746,121.54391,6.48074069840786
71,2013-08-01,6.6,90.45606,9,24.97433,121.5431,7.681145747868608
72,2013-01-31,35.5,640.7391,3,24.97563,121.53715,6.387487769068525
73,2013-08-01,32.5,424.5442,8,24.97587,121.53913,6.024948132556827
74,2013-03-02,13.8,4082.015,0,24.94155,121.50381,4.47213595499958
75,2012-12-01,6.8,379.5575,10,24.98343,121.53762,7.37563556583431
