City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2019-12-25,84.51,120.22,1.73,13.16,8.41,14.6,0.95,17.69,54.0,1.19,3.31,0.12,194.0,Moderate
Amaravati,2019-12-26,50.52,81.46,2.37,14.79,9.79,13.24,0.59,13.86,32.95,0.89,2.1,0.12,114.0,Moderate
Amaravati,2019-12-27,41.79,73.58,3.48,17.65,12.21,13.75,0.63,14.1,29.21,0.74,2.45,0.13,77.0,Satisfactory
Amaravati,2019-12-28,57.09,88.15,2.19,15.8,10.17,15.74,0.78,9.56,35.44,0.92,2.46,0.12,79.0,Satisfactory
Amaravati,2019-12-29,74.45,110.95,1.54,12.5,7.89,16.66,0.75,19.09,59.61,1.04,2.28,0.15,133.0,Moderate
Amaravati,2019-12-30,59.42,90.44,1.63,12.73,8.09,14.39,0.92,20.55,63.08,0.87,6.68,0.15,131.0,Moderate
Amaravati,2019-12-31,49.5,80.8,1.67,12.64,8.05,14.44,0.64,17.14,64.8,0.7,1.44,0.11,87.0,Satisfactory
Amaravati,2020-01-01,59.64,88.85,1.67,12.12,7.81,14.99,0.77,17.53,57.26,0.89,3.38,0.12,96.0,Satisfactory
Amaravati,2020-01-02,42.46,65.39,1.72,12.17,7.87,14.75,0.73,17.09,55.17,0.79,2.12,0.11,82.0,Satisfactory
Amaravati,2020-01-03,39.07,62.93,1.81,13.53,8.67,14.43,0.69,22.14,43.7,0.77,3.4,0.17,76.0,Satisfactory
Amaravati,2020-01-04,22.79,38.35,2.27,18.79,11.83,14.34,0.64,19.87,23.59,0.6,5.88,0.24,47.0,Good
Amaravati,2020-01-05,37.81,56.66,1.73,12.98,8.31,20.69,0.63,14.68,36.53,0.6,1.94,0.14,55.0,Satisfactory
Amaravati,2020-01-06,38.82,61.4,1.9,11.64,7.75,21.22,0.65,18.74,48.53,0.58,1.28,0.11,66.0,Satisfactory
Amaravati,2020-01-07,69.49,97.7,1.95,12.04,8.0,20.46,0.68,17.89,59.37,0.71,1.24,0.1,109.0,Moderate
Amaravati,2020-01-08,53.32,75.4,1.81,11.47,7.58,16.98,0.64,15.37,53.9,0.55,1.0,0.1,103.0,Moderate
Amaravati,2020-01-09,37.23,62.09,1.83,13.23,8.52,15.63,0.53,13.54,46.31,0.5,0.92,0.11,78.0,Satisfactory
Amaravati,2020-01-10,51.22,84.62,3.18,21.49,14.02,17.07,0.67,20.19,36.26,0.85,4.41,0.21,70.0,Satisfactory
Amaravati,2020-01-11,66.57,100.98,1.91,16.47,10.31,18.55,0.76,18.45,37.24,0.65,2.92,0.19,110.0,Moderate
Amaravati,2020-01-12,78.28,109.42,2.34,16.82,10.84,18.62,0.8,24.75,47.01,0.74,3.26,0.12,147.0,Moderate
Amaravati,2020-01-13,85.67,121.55,2.61,20.64,13.1,20.95,0.95,32.97,47.84,1.08,5.83,0.22,177.0,Moderate
Amaravati,2020-01-14,82.66,111.92,1.62,14.0,8.76,19.57,0.85,17.11,56.49,0.91,1.78,0.13,168.0,Moderate
Amaravati,2020-01-15,68.4,90.93,1.72,11.06,7.27,19.03,0.76,18.33,48.09,0.79,1.9,0.13,163.0,Moderate
Amaravati,2020-01-16,56.44,75.95,1.57,10.33,6.65,21.41,0.64,9.86,47.51,0.52,2.58,0.1,108.0,Moderate
Amaravati,2020-01-17,45.81,66.69,2.1,11.52,7.83,15.1,0.66,15.86,44.3,0.52,1.06,0.1,82.0,Satisfactory
Amaravati,2020-01-18,31.59,51.42,2.23,8.68,6.43,12.88,0.6,12.33,35.43,0.23,0.95,0.1,60.0,Satisfactory
Amaravati,2020-01-19,36.62,58.14,2.01,10.43,7.18,13.99,0.69,16.57,35.86,0.26,0.79,0.1,58.0,Satisfactory
Amaravati,2020-01-20,31.22,57.33,3.69,16.9,11.99,14.42,0.63,14.64,33.25,0.38,1.44,0.14,62.0,Satisfactory
Amaravati,2020-01-21,29.88,55.3,4.31,15.62,11.81,16.82,0.63,14.09,35.92,0.41,1.34,0.14,63.0,Satisfactory
Amaravati,2020-01-22,37.56,65.26,2.86,14.76,10.17,17.54,0.65,14.71,41.22,0.37,1.33,0.11,63.0,Satisfactory
Amaravati,2020-01-23,59.33,93.3,3.08,17.94,12.04,18.24,0.75,18.29,40.9,0.43,1.41,0.15,87.0,Satisfactory
Amaravati,2020-01-24,61.4,96.6,2.53,15.34,10.21,18.05,0.73,23.54,43.29,0.69,2.14,0.14,101.0,Moderate
Amaravati,2020-01-25,51.18,76.33,1.67,11.66,7.55,18.53,0.64,18.69,46.21,0.49,0.9,0.1,98.0,Satisfactory
Amaravati,2020-01-26,38.39,63.99,2.48,15.39,10.2,16.55,0.61,20.0,36.83,0.46,1.14,0.15,77.0,Satisfactory
Amaravati,2020-01-27,34.56,62.65,2.89,16.51,11.14,17.89,0.57,19.73,44.57,0.42,0.92,0.13,74.0,Satisfactory
Amaravati,2020-01-28,33.62,60.66,2.5,14.78,9.89,16.7,0.52,20.29,36.88,0.32,0.61,0.12,65.0,Satisfactory
Amaravati,2020-01-29,29.98,51.68,2.24,9.21,6.72,17.48,0.52,12.76,32.35,0.23,0.36,0.11,59.0,Satisfactory
Amaravati,2020-01-30,32.18,60.01,2.65,13.11,9.13,15.9,0.55,15.43,36.9,0.31,0.65,0.1,59.0,Satisfactory
Amaravati,2020-01-31,26.72,53.9,3.71,15.53,11.29,15.51,0.49,19.06,32.28,0.34,0.8,0.12,66.0,Satisfactory
Amaravati,2020-02-01,21.22,43.36,2.75,12.12,8.68,13.05,0.45,18.25,31.33,0.24,0.49,0.12,52.0,Satisfactory
Amaravati,2020-02-02,19.94,42.27,2.1,10.35,7.22,13.25,0.47,13.38,31.97,0.26,0.91,0.13,47.0,Good
Amaravati,2020-02-03,24.44,47.41,3.38,12.27,9.27,14.49,0.54,15.16,30.12,0.36,0.95,0.17,48.0,Good
Amaravati,2020-02-04,27.24,49.64,3.19,14.18,10.14,14.24,0.52,16.38,32.33,0.36,0.82,0.17,54.0,Satisfactory
Amaravati,2020-02-05,25.74,46.38,2.92,11.44,8.46,15.08,0.52,19.32,36.58,0.33,0.67,0.13,54.0,Satisfactory
Amaravati,2020-02-06,20.12,42.08,4.32,14.78,11.37,14.0,0.52,15.01,27.59,0.38,1.08,0.17,47.0,Good
Amaravati,2020-02-07,16.85,37.38,2.13,9.88,6.98,14.69,0.44,18.3,36.72,0.18,0.33,0.13,44.0,Good
Amaravati,2020-02-08,22.46,41.78,1.94,10.81,7.33,15.98,0.38,20.25,35.46,0.23,0.33,0.1,45.0,Good
Amaravati,2020-02-09,38.73,63.42,2.15,16.17,10.34,15.89,0.62,17.41,35.62,0.69,2.28,0.17,51.0,Satisfactory
Amaravati,2020-02-10,36.26,56.64,2.36,14.25,9.51,18.78,0.53,17.68,46.43,0.58,1.45,0.12,65.0,Satisfactory
Amaravati,2020-02-11,45.14,73.27,2.37,13.84,9.3,18.61,0.6,18.99,53.62,0.64,1.74,0.14,70.0,Satisfactory
Amaravati,2020-02-12,59.61,94.82,2.4,17.03,11.02,19.76,0.67,21.32,55.77,0.74,3.79,0.13,86.0,Satisfactory
Amaravati,2020-02-13,61.24,99.2,3.15,25.9,16.33,20.39,0.64,34.59,46.13,0.73,2.66,0.21,110.0,Moderate
Amaravati,2020-02-14,43.11,76.55,2.24,16.21,10.44,18.22,0.52,23.05,46.64,0.45,1.41,0.13,87.0,Satisfactory
Amaravati,2020-02-15,64.53,110.64,2.58,23.25,14.46,21.25,0.78,27.95,53.69,1.01,5.19,0.37,103.0,Moderate
Amaravati,2020-02-16,37.53,64.2,1.97,14.1,9.09,21.98,0.44,15.75,40.59,0.41,1.1,0.14,88.0,Satisfactory
Amaravati,2020-02-17,29.12,54.82,3.8,14.06,10.57,18.64,0.44,19.12,41.62,0.39,1.15,0.14,66.0,Satisfactory
Amaravati,2020-02-18,31.68,62.23,2.77,14.53,9.98,18.14,0.48,20.98,37.94,0.46,1.51,0.18,66.0,Satisfactory
Amaravati,2020-02-19,40.98,69.15,2.22,14.6,9.58,19.11,0.46,18.62,39.9,0.33,0.97,0.14,65.0,Satisfactory
Amaravati,2020-02-20,49.1,74.88,2.17,12.98,8.68,17.4,0.44,17.74,49.28,0.31,0.67,0.14,77.0,Satisfactory
Amaravati,2020-02-21,35.92,61.83,1.79,11.83,7.74,13.53,0.47,16.2,42.11,0.38,1.02,0.16,74.0,Satisfactory
Amaravati,2020-02-22,27.13,54.16,1.78,12.98,8.34,10.6,0.48,20.2,39.74,0.49,6.94,0.13,60.0,Satisfactory
Amaravati,2020-02-23,34.81,62.43,1.99,14.44,9.3,12.6,0.77,13.0,44.47,0.44,2.7,0.15,82.0,Satisfactory
Amaravati,2020-02-24,31.66,53.22,1.94,9.29,6.53,14.42,0.62,15.94,46.68,0.18,1.19,0.12,68.0,Satisfactory
Amaravati,2020-02-25,24.86,47.43,2.38,10.73,7.64,12.94,0.61,16.73,39.9,0.22,0.5,0.12,53.0,Satisfactory
Amaravati,2020-02-26,31.28,59.42,2.46,13.15,8.99,15.78,0.81,19.56,40.48,0.43,1.57,0.18,78.0,Satisfactory
Amaravati,2020-02-27,38.85,67.95,2.65,13.49,9.33,14.82,0.86,22.27,43.97,0.28,1.8,0.16,73.0,Satisfactory
Amaravati,2020-02-28,31.99,57.18,2.22,10.99,7.67,14.0,0.66,23.6,51.47,0.43,1.47,0.11,68.0,Satisfactory
Amaravati,2020-02-29,35.99,59.72,1.87,10.24,6.96,13.49,0.52,18.21,51.81,0.32,0.83,0.12,65.0,Satisfactory
Amaravati,2020-03-01,32.99,56.46,1.68,8.29,5.77,12.67,0.48,19.32,52.32,0.26,0.5,0.13,67.0,Satisfactory
Amaravati,2020-03-02,39.84,62.14,2.35,11.69,8.11,12.86,0.56,24.7,49.09,0.25,0.63,0.17,67.0,Satisfactory
Amaravati,2020-03-03,40.19,64.95,2.55,10.71,7.77,12.84,0.58,22.82,45.68,0.27,0.64,0.14,70.0,Satisfactory
Amaravati,2020-03-04,35.95,59.47,2.76,12.61,8.95,12.21,0.55,17.88,38.71,0.28,0.69,0.12,66.0,Satisfactory
Amaravati,2020-03-05,20.14,31.66,2.18,7.85,5.94,10.82,0.49,18.35,26.21,0.13,0.32,0.1,47.0,Good
Amaravati,2020-03-07,14.26,24.49,2.46,6.19,5.28,10.4,0.52,12.13,26.65,0.13,0.29,0.1,35.0,Good
Amaravati,2020-03-08,10.28,22.95,2.09,8.15,6.03,8.47,0.49,29.5,24.62,0.1,0.42,0.1,35.0,Good
Amaravati,2020-03-09,12.37,22.79,3.17,9.77,7.78,9.65,0.54,18.18,19.25,0.09,0.69,0.1,42.0,Good
Amaravati,2020-03-10,10.63,22.11,2.43,7.78,6.12,9.32,0.46,25.19,24.48,0.09,0.56,0.1,35.0,Good
Amaravati,2020-03-14,23.78,44.16,1.98,8.07,5.91,9.98,0.49,21.65,27.22,0.11,0.65,0.18,48.0,Good
Amaravati,2020-03-15,25.83,45.42,2.21,7.94,6.02,9.82,0.47,22.1,28.67,0.18,0.78,0.19,48.0,Good
Amaravati,2020-03-16,27.28,47.52,2.65,9.42,7.16,10.82,0.57,19.49,28.25,0.19,0.88,0.13,48.0,Good
Amaravati,2020-03-17,31.49,49.92,1.93,8.93,6.32,10.09,0.64,19.67,34.5,0.18,0.6,0.1,54.0,Satisfactory
Amaravati,2020-03-18,19.45,36.11,2.41,9.54,7.05,9.35,0.58,16.2,31.44,0.11,0.56,0.1,48.0,Good
Amaravati,2020-03-19,18.86,35.92,2.32,8.13,6.23,9.31,0.55,19.8,32.35,0.1,0.56,0.1,51.0,Satisfactory
Amaravati,2020-03-20,15.23,28.92,2.14,7.4,5.67,10.07,0.49,25.54,28.78,0.08,0.51,0.1,43.0,Good
Amaravati,2020-03-21,13.9,26.07,1.78,5.15,4.18,8.51,0.49,23.29,25.43,0.04,0.29,0.15,37.0,Good
Amaravati,2020-03-23,26.01,50.98,1.54,4.65,3.73,8.62,0.45,24.44,29.73,0.07,0.33,0.1,51.0,Satisfactory
Amaravati,2020-03-24,17.19,39.17,1.39,4.81,3.69,7.58,0.46,20.71,28.52,0.08,0.42,0.14,47.0,Good
Amaravati,2020-03-25,16.77,35.65,1.38,4.29,3.41,7.58,1.47,18.95,27.74,0.07,0.33,0.1,101.0,Moderate
Amaravati,2020-03-26,23.67,44.23,1.58,4.99,3.94,7.93,0.66,18.8,29.32,0.15,0.66,0.16,108.0,Moderate
Amaravati,2020-03-27,25.36,50.63,1.51,4.69,3.74,8.2,0.23,21.49,37.28,0.08,0.31,0.1,52.0,Satisfactory
Amaravati,2020-03-28,25.12,52.01,1.52,4.71,3.74,7.88,0.25,22.1,43.19,0.09,0.39,0.15,61.0,Satisfactory
Amaravati,2020-03-29,26.96,53.31,1.29,5.11,3.77,7.91,0.37,19.29,38.57,0.13,0.65,0.1,58.0,Satisfactory
Amaravati,2020-03-31,29.86,55.8,1.39,4.52,3.54,8.81,0.28,23.12,44.17,0.08,0.33,0.1,69.0,Satisfactory
Amaravati,2020-04-01,34.77,63.95,1.4,5.03,3.81,9.07,0.25,25.11,40.76,0.11,0.47,0.1,69.0,Satisfactory
Amaravati,2020-04-10,21.17,41.26,1.3,6.54,4.25,6.25,0.0,13.94,36.65,0.32,1.26,0.17,53.0,Satisfactory
Amaravati,2020-04-11,13.72,31.06,1.4,4.58,3.58,6.74,0.0,15.56,26.1,0.05,0.54,0.16,42.0,Good
Amaravati,2020-04-13,18.38,40.46,1.31,4.91,3.66,7.17,0.0,14.3,27.51,0.05,0.38,0.1,47.0,Good
Amaravati,2020-04-15,18.62,45.2,1.48,4.5,3.6,6.92,0.0,14.12,30.13,0.06,0.29,0.1,51.0,Satisfactory
Amaravati,2020-04-17,13.28,40.72,1.37,4.83,3.68,7.29,0.0,12.24,25.98,0.06,0.31,0.1,40.0,Good
Amaravati,2020-05-22,29.9,103.68,1.47,10.11,6.4,11.55,0.38,12.04,52.47,0.16,0.82,0.1,103.0,Moderate
Amaravati,2020-05-24,18.09,60.29,1.41,4.2,3.39,10.29,0.45,8.1,48.0,5.09,0.2,4.95,66.0,Satisfactory
Amaravati,2020-05-27,24.22,66.04,1.39,4.33,3.44,11.7,0.5,7.19,24.36,4.9,0.42,84.72,69.0,Satisfactory
Amaravati,2020-05-28,25.16,66.12,1.57,5.41,4.15,12.46,0.6,7.99,13.71,0.44,0.38,0.1,64.0,Satisfactory
Amaravati,2020-05-29,20.96,68.44,1.52,5.69,4.27,10.97,0.6,10.85,17.45,0.08,0.49,0.1,70.0,Satisfactory
Amaravati,2020-05-30,22.5,62.08,1.46,6.94,4.87,10.98,0.57,17.09,21.62,0.09,0.67,0.12,63.0,Satisfactory
Amaravati,2020-05-31,19.96,58.07,1.42,5.43,4.05,10.08,0.55,9.11,21.51,0.05,0.34,0.3,62.0,Satisfactory
Amaravati,2020-06-01,8.09,37.02,1.58,9.29,6.22,4.7,0.48,9.85,14.81,0.12,1.75,0.12,46.0,Good
Amaravati,2020-06-02,12.78,38.24,1.66,9.72,6.52,10.11,0.51,6.61,18.39,0.09,1.19,0.22,41.0,Good
Amaravati,2020-06-03,10.23,35.22,1.85,10.19,6.6,7.4,0.5,12.47,19.36,0.1,1.18,0.19,40.0,Good
Amaravati,2020-06-04,7.89,34.52,1.76,11.09,7.33,7.17,0.54,16.74,18.72,0.05,0.45,0.1,39.0,Good
Amaravati,2020-06-05,9.33,36.04,1.6,8.83,5.99,8.01,0.44,11.48,30.3,0.08,0.47,0.1,58.0,Satisfactory
Amaravati,2020-06-06,10.14,43.39,1.33,7.06,4.83,6.2,0.42,12.83,35.22,0.09,0.55,0.19,44.0,Good
Amaravati,2020-06-07,11.49,47.69,1.48,6.9,4.87,6.93,0.42,12.34,38.36,0.06,0.36,0.1,50.0,Good
Amaravati,2020-06-08,12.19,49.5,1.62,10.16,6.72,7.12,0.44,11.95,38.42,0.1,0.7,0.15,54.0,Satisfactory
Amaravati,2020-06-09,10.39,44.35,1.56,10.06,6.61,6.04,0.5,15.46,40.05,0.09,0.76,0.22,61.0,Satisfactory
Amaravati,2020-06-10,10.18,25.24,8.5,15.4,15.51,9.51,0.59,13.75,40.65,0.09,1.21,0.17,58.0,Satisfactory
Amaravati,2020-06-11,5.6,12.17,2.27,14.58,9.6,9.96,0.51,18.82,42.45,0.11,1.63,0.1,53.0,Satisfactory
Amaravati,2020-06-12,4.7,12.83,1.66,10.03,6.69,8.76,0.53,13.34,34.37,0.08,0.52,0.1,47.0,Good
Amaravati,2020-06-13,4.65,12.76,1.48,8.44,5.7,7.97,0.48,12.34,35.22,0.06,0.28,0.1,44.0,Good
Amaravati,2020-06-14,11.71,25.81,1.6,8.06,5.6,8.67,0.53,16.01,39.34,0.07,0.57,0.29,47.0,Good
Amaravati,2020-06-15,10.07,24.04,2.12,9.21,6.62,8.73,0.48,12.19,33.82,0.06,0.41,0.1,41.0,Good
Amaravati,2020-06-16,11.61,31.52,4.88,16.7,12.86,8.35,0.5,16.28,31.19,0.09,0.78,0.36,39.0,Good
Amaravati,2020-06-17,8.73,18.33,4.64,16.26,11.66,10.3,0.38,17.54,29.47,0.09,0.54,0.2,36.0,Good
Amaravati,2020-06-18,11.2,27.86,3.27,12.95,9.54,12.91,0.62,17.81,31.9,0.1,0.81,0.19,42.0,Good
Amaravati,2020-06-19,11.03,34.97,3.18,13.74,9.89,8.92,0.64,10.39,31.37,0.14,1.43,0.32,43.0,Good
Amaravati,2020-06-20,16.99,45.43,1.52,9.48,6.27,8.6,0.55,11.19,41.25,0.11,1.29,0.16,55.0,Satisfactory
Amaravati,2020-06-21,12.74,30.83,1.66,10.27,6.81,9.45,0.59,13.28,34.95,0.13,0.77,0.15,50.0,Good
Amaravati,2020-06-22,17.97,50.49,2.05,12.1,8.1,10.92,0.65,11.68,30.15,0.17,1.55,0.53,46.0,Good
Amaravati,2020-06-23,15.48,34.84,2.07,9.15,6.55,13.53,0.58,15.88,39.82,0.11,0.8,0.16,55.0,Satisfactory
Amaravati,2020-06-24,14.88,35.33,1.86,10.59,7.15,11.62,0.59,14.04,38.01,0.13,1.03,0.21,52.0,Satisfactory
Amaravati,2020-06-25,20.74,37.36,1.9,8.44,6.03,14.57,0.62,15.38,39.32,0.13,0.89,0.28,50.0,Good
Amaravati,2020-06-27,14.5,24.43,1.53,6.53,4.72,8.97,0.55,13.75,33.76,0.06,0.27,0.15,42.0,Good
Amaravati,2020-06-28,16.65,28.51,1.43,8.32,5.59,9.77,0.66,10.86,37.34,0.1,0.43,0.12,49.0,Good
Amaravati,2020-06-29,20.96,32.56,1.65,9.55,6.43,14.3,0.66,14.79,43.29,0.12,0.69,0.1,56.0,Satisfactory
Amaravati,2020-06-30,21.34,35.16,1.74,10.69,7.1,13.38,0.66,14.58,45.32,0.14,1.42,0.2,61.0,Satisfactory
Amritsar,2017-10-20,248.12,445.44,29.93,40.11,70.05,60.89,1.08,9.66,12.32,3.47,7.62,28.33,463.0,Severe
Amritsar,2017-10-21,148.47,318.1,12.04,32.77,44.81,48.33,1.17,4.9,12.08,3.47,7.42,27.97,320.0,Very Poor
Amritsar,2017-10-22,194.47,357.95,13.87,35.42,49.29,50.88,1.25,5.15,10.86,3.45,7.74,28.02,338.0,Very Poor
Amritsar,2017-10-23,214.73,276.08,18.8,41.72,60.52,54.25,1.17,6.44,12.38,2.9,6.88,26.67,395.0,Very Poor
Amritsar,2017-10-24,71.13,191.27,19.23,40.37,59.6,56.56,1.03,4.28,11.79,2.37,6.8,24.64,229.0,Poor
Amritsar,2017-10-25,126.19,312.7,27.26,46.16,73.42,67.83,1.37,5.91,13.68,2.49,11.07,27.32,239.0,Poor
Amritsar,2017-10-26,133.53,309.8,18.63,41.42,60.05,62.82,1.19,4.74,20.3,3.0,11.05,27.68,318.0,Very Poor
Amritsar,2017-10-27,150.33,299.12,9.42,39.46,48.88,62.45,1.13,5.8,12.62,3.24,11.41,25.08,308.0,Very Poor
Amritsar,2017-10-28,165.75,302.65,15.8,39.01,54.81,66.54,1.42,5.62,13.11,2.98,12.45,25.99,338.0,Very Poor
Amritsar,2017-10-29,221.93,295.75,14.34,39.44,53.78,67.53,1.3,5.2,14.02,2.91,12.53,26.57,356.0,Very Poor
Amritsar,2017-10-30,147.44,289.42,15.54,39.07,54.62,67.76,1.37,4.87,10.89,2.91,12.41,25.97,341.0,Very Poor
Amritsar,2017-10-31,174.03,267.13,20.75,41.44,62.18,70.6,1.45,4.39,9.84,3.0,12.98,26.31,271.0,Poor
Amritsar,2017-11-01,145.27,261.79,17.83,39.11,56.94,66.67,1.11,3.59,15.1,2.83,11.85,25.7,304.0,Very Poor
Amritsar,2017-11-02,129.13,259.59,14.12,32.27,46.39,62.85,1.15,4.98,14.08,2.85,11.89,26.93,314.0,Very Poor
Amritsar,2017-11-03,146.53,252.25,8.45,29.28,37.73,62.9,1.31,3.88,15.18,3.71,12.22,26.31,317.0,Very Poor
Amritsar,2017-11-04,144.73,251.09,16.4,37.42,53.81,68.55,1.87,7.78,12.17,10.91,13.33,29.17,318.0,Very Poor
Amritsar,2017-11-05,160.69,290.59,6.89,17.91,23.24,12.81,1.79,5.13,15.85,11.55,12.13,28.23,319.0,Very Poor
Amritsar,2017-11-06,140.05,290.75,51.16,42.09,59.61,28.02,1.77,5.17,20.13,4.12,11.75,26.22,321.0,Very Poor
Amritsar,2017-11-07,97.78,232.21,8.32,30.81,36.48,26.67,1.9,4.39,3.93,4.39,12.39,25.01,252.0,Poor
Amritsar,2017-11-08,90.68,250.2,26.51,28.37,54.2,30.33,1.89,5.71,3.71,4.25,11.87,25.25,235.0,Poor
Amritsar,2017-11-09,113.0,222.95,38.56,21.98,60.07,34.51,2.13,8.28,19.28,4.78,13.04,26.66,248.0,Poor
Amritsar,2017-11-10,137.47,260.49,38.12,21.68,56.14,33.64,2.0,7.71,23.6,4.8,12.76,26.69,295.0,Poor
Amritsar,2017-11-11,147.97,267.24,40.1,24.95,67.76,42.69,2.27,9.16,36.54,6.34,13.94,25.83,317.0,Very Poor
Amritsar,2017-11-12,151.19,271.2,59.56,29.61,89.17,32.33,1.89,8.14,31.48,4.64,12.61,24.9,328.0,Very Poor
Amritsar,2017-11-13,121.54,234.56,55.74,20.89,76.63,22.98,1.8,6.0,23.6,4.15,11.6,24.27,311.0,Very Poor
Amritsar,2017-11-14,89.18,178.8,54.75,5.2,59.94,14.01,1.3,4.34,24.42,3.77,10.62,23.97,234.0,Poor
Amritsar,2017-11-15,38.17,100.14,46.4,13.71,59.36,15.25,0.66,7.43,23.57,3.07,7.91,22.83,128.0,Moderate
Amritsar,2017-11-16,78.81,182.69,58.44,41.92,100.36,12.81,1.05,18.04,25.52,3.8,8.97,24.21,131.0,Moderate
Amritsar,2017-11-17,111.37,228.78,57.05,31.94,88.99,11.88,1.4,8.03,29.84,6.75,9.31,20.58,262.0,Poor
Amritsar,2017-11-18,83.0,184.32,52.17,7.07,57.11,12.53,0.97,8.07,25.07,4.35,7.79,14.11,200.0,Moderate
Amritsar,2017-11-19,106.43,224.99,56.49,12.22,68.71,10.81,1.05,5.24,21.02,4.3,7.9,13.38,206.0,Poor
Amritsar,2017-11-20,144.45,295.86,54.15,31.96,85.69,11.28,1.38,11.93,29.91,5.18,9.81,15.21,314.0,Very Poor
Amritsar,2017-11-21,128.92,264.88,61.57,46.82,108.39,14.86,1.17,9.23,33.66,7.86,10.18,15.94,307.0,Very Poor
Amritsar,2017-11-22,143.36,276.23,76.45,47.59,124.04,13.14,1.87,11.0,32.23,7.85,11.18,17.21,318.0,Very Poor
Amritsar,2017-11-23,110.68,237.22,68.04,48.8,116.84,13.34,1.74,9.61,51.68,8.62,9.58,15.67,288.0,Poor
Amritsar,2017-11-24,141.64,270.82,82.14,49.18,130.87,12.55,2.31,14.29,54.87,8.3,10.98,17.59,302.0,Very Poor
Amritsar,2017-11-25,143.81,268.1,93.94,50.9,144.84,10.58,2.44,11.24,21.83,8.29,11.41,18.47,322.0,Very Poor
Amritsar,2017-11-26,137.81,263.37,100.06,50.56,150.62,9.65,2.5,9.17,24.79,9.65,11.6,18.92,316.0,Very Poor
Amritsar,2017-11-27,137.05,266.39,73.78,45.09,118.88,14.69,2.52,10.52,60.42,9.0,10.16,16.8,313.0,Very Poor
Amritsar,2017-11-28,129.76,268.24,83.19,41.77,124.96,15.91,2.65,15.28,52.76,11.13,11.52,18.88,306.0,Very Poor
Amritsar,2017-11-29,146.1,283.99,90.92,30.53,120.09,12.51,3.08,6.11,44.48,11.29,11.91,19.51,317.0,Very Poor
Amritsar,2017-11-30,146.1,265.34,86.92,33.22,119.97,9.54,2.91,6.23,27.76,12.97,12.59,20.81,323.0,Very Poor
Amritsar,2017-12-01,147.77,270.1,96.96,35.25,132.21,8.46,2.47,6.53,26.29,9.47,14.6,22.35,324.0,Very Poor
Amritsar,2017-12-02,119.12,232.05,79.18,23.9,103.08,6.57,1.96,8.67,30.52,8.83,11.75,19.74,296.0,Poor
Amritsar,2017-12-03,130.16,239.25,66.72,14.57,81.29,3.21,2.31,6.87,19.05,9.79,11.89,20.02,309.0,Very Poor
Amritsar,2017-12-04,108.22,214.5,47.23,7.36,54.59,2.19,1.48,4.54,18.64,5.09,9.61,16.63,266.0,Poor
Amritsar,2017-12-05,92.93,189.34,47.7,3.08,50.78,1.0,1.39,3.69,18.47,4.94,9.32,15.93,227.0,Poor
Amritsar,2017-12-07,106.08,215.78,19.15,49.15,66.48,9.95,2.41,10.52,24.02,5.45,9.64,15.73,185.0,Moderate
Amritsar,2017-12-08,131.98,266.2,31.82,20.28,52.09,3.11,2.83,15.63,23.9,9.68,11.96,18.04,298.0,Poor
Amritsar,2017-12-09,117.47,236.63,38.13,19.17,57.3,2.67,2.15,6.8,20.97,12.27,12.24,19.51,304.0,Very Poor
Amritsar,2017-12-10,102.19,198.88,33.67,18.62,52.28,2.49,3.83,7.07,19.06,9.15,10.31,17.46,277.0,Poor
Amritsar,2017-12-11,44.98,87.5,25.9,13.03,38.91,3.09,3.75,9.09,17.91,3.94,6.9,13.09,162.0,Moderate
Amritsar,2017-12-12,53.43,87.57,25.21,10.07,35.27,1.73,2.82,4.37,19.16,2.59,5.31,11.12,127.0,Moderate
Amritsar,2017-12-13,66.28,141.61,24.35,16.09,40.44,0.5,1.7,4.5,16.98,3.31,5.21,16.32,116.0,Moderate
Amritsar,2017-12-14,58.41,124.48,23.33,16.29,39.62,0.57,0.86,6.69,17.61,5.8,4.3,22.25,126.0,Moderate
Amritsar,2017-12-21,87.22,198.96,20.54,42.63,54.36,4.86,0.96,12.91,24.44,16.18,7.27,19.43,227.0,Poor
Amritsar,2017-12-22,56.46,126.01,5.73,25.53,31.26,3.37,1.53,2.98,24.89,4.8,5.61,7.89,143.0,Moderate
Amritsar,2017-12-23,72.21,157.96,6.3,26.12,32.42,3.42,2.16,3.34,25.49,4.92,7.25,8.95,122.0,Moderate
Amritsar,2017-12-24,96.33,186.31,7.72,28.36,36.08,3.66,1.71,3.36,21.55,5.7,7.97,10.23,197.0,Moderate
Amritsar,2017-12-25,112.36,210.37,8.0,28.77,36.76,3.76,1.41,3.31,20.73,7.2,9.25,11.68,235.0,Poor
Amritsar,2017-12-26,148.9,272.45,7.08,28.1,35.17,3.62,1.22,2.86,19.3,10.16,10.6,12.87,315.0,Very Poor
Amritsar,2017-12-27,177.53,303.42,8.73,28.78,37.51,3.81,1.37,3.44,23.38,7.56,11.05,13.57,335.0,Very Poor
Amritsar,2017-12-28,101.19,188.85,5.98,26.62,32.6,3.32,1.24,5.94,23.25,5.23,8.68,9.38,298.0,Poor
